163,Lisinopril,ACE Inhibitor,Oral (also listed above)
164,Spironolactone,Potassium-Sparing Diuretic,Oral
165,Eplerenone,Potassium-Sparing Diuretic,Oral
166,Amiloride,Potassium-Sparing Diuretic,Oral
167,Triamterene,Potassium-Sparing Diuretic,Oral
168,Glycopyrrolate,Anticholinergic,Oral/Injectable
169,Scopolamine,Anticholinergic,Oral/Transdermal
170,Hyoscyamine,Anticholinergic,Oral
171,Oxybutynin,Anticholinergic (Bladder),Oral
172,Tolterodine,Anticholinergic (Bladder),Oral
173,Solifenacin,Anticholinergic (Bladder),Oral
174,Darifenacin,Anticholinergic (Bladder),Oral
175,Mirabegron,Beta-3 Agonist (Bladder),Oral
176,Tamsulosin,Alpha-blocker (BPH),Oral
177,Terazosin,Alpha-blocker (BPH),Oral
178,Doxazosin,Alpha-blocker (BPH),Oral
179,Finasteride,5-alpha-reductase inhibitor (BPH),Oral
80,Dutasteride,5-alpha-reductase inhibitor (BPH),Oral
181,Sildenafil,Phosphodiesterase-5 Inhibitor,Oral
182,Tadalafil,Phosphodiesterase-5 Inhibitor,Oral
183,Vardenafil,Phosphodiesterase-5 Inhibitor,Oral
184,Avanafil,Phosphodiesterase-5 Inhibitor,Oral
185,Cialis (Tadalafil),Phosphodiesterase-5 Inhibitor,Oral (Brand Name)
186,Viagra (Sildenafil),Phosphodiesterase-5 Inhibitor,Oral (Brand Name)
187,Metronidazole,Anti-Infective (Anti-protozoal),Oral
188,Tinidazole,Anti-Infective (Anti-protozoal),Oral
189,Itraconazole,Antifungal,Oral
190,Fluconazole,Antifungal,Oral
191,Ketoconazole,Antifungal,Oral
192,Voriconazole,Antifungal,Oral
193,Posaconazole,Antifungal,Oral
194,Acyclovir,Antiviral,Oral
195,Valacyclovir,Antiviral,Oral
196,Ganciclovir,Antiviral,Injectable
197,Valganciclovir,Antiviral,Oral
198,Oseltamivir,Antiviral (Influenza),Oral
199,Zanamivir,Antiviral (Influenza),Inhaled
200,Ribavirin,Antiviral,Oral/Inhaled


```

This expanded list still lacks many medications and their brand names, but gives a more comprehensive overview of medication categories. Remember to consult a healthcare professional for any health concerns or before starting any medication.
